;(flair-tagged) sentence;;spaCy - flair;;stanza - flair;;stanza - spaCy
871;"['At_ADP', 'last_ADV', ',_PUNCT', 'however_ADV', ',_PUNCT', 'he_PRON', 'began_VERB', 'to_PART', 'think_VERB', '--_PUNCT', 'as_ADP', 'you_PRON', 'or_CCONJ', 'I_PRON', 'would_AUX', 'have_VERB', 'thought_VERB', 'at_ADP', 'first_ADV', ';_PUNCT', 'for_ADP', 'it_PRON', 'is_VERB', 'always_ADV', 'the_DET', 'person_NOUN', 'not_ADV', 'in_ADP', 'the_DET', 'predicament_NOUN', 'who_PRON', 'knows_VERB', 'what_PRON', 'ought_AUX', 'to_PART', 'have_VERB', 'been_VERB', 'done_VERB', 'in_ADP', 'it_PRON', ',_PUNCT', 'and_CCONJ', 'would_AUX', 'unquestionably_ADV', 'have_VERB', 'done_VERB', 'it_PRON', 'too_ADV', '--_PUNCT', 'at_ADP', 'last_ADV', ',_PUNCT', 'I_PRON', 'say_VERB', ',_PUNCT', 'he_PRON', 'began_VERB', 'to_PART', 'think_VERB', 'that_ADP', 'the_DET', 'source_NOUN', 'and_CCONJ', 'secret_NOUN', 'of_ADP', 'this_DET', 'ghostly_ADJ', 'light_NOUN', 'might_AUX', 'be_VERB', 'in_ADP', 'the_DET', 'adjoining_VERB', 'room_NOUN', ',_PUNCT', 'from_ADP', 'whence_NOUN', ',_PUNCT', 'on_ADP', 'further_ADV', 'tracing_VERB', 'it_PRON', ',_PUNCT', 'it_PRON', 'seemed_VERB', 'to_PART', 'shine_VERB', '._PUNCT']";88;{'adjoining_ADJ', 'be_AUX', 'as_SCONJ', 'might_VERB', 'not_PART', 'last_ADJ', 'been_AUX', 'is_AUX', 'ought_VERB', 'would_VERB', 'that_SCONJ', 'have_AUX'};88;{'at_ADV', 'be_AUX', 'whence_ADV', 'as_SCONJ', 'last_ADJ', 'been_AUX', 'is_AUX', 'for_SCONJ', 'adjoining_NOUN', 'that_SCONJ', 'on_SCONJ', 'have_AUX'};88;{'adjoining_ADJ', 'might_VERB', 'not_PART', 'would_VERB', 'ought_VERB'}
872;['This_DET', 'idea_NOUN', 'taking_VERB', 'full_ADJ', 'possession_NOUN', 'of_ADP', 'his_PRON', 'mind_NOUN', ',_PUNCT', 'he_PRON', 'got_VERB', 'up_ADP', 'softly_ADV', ',_PUNCT', 'and_CCONJ', 'shuffled_VERB', 'in_ADP', 'his_PRON', 'slippers_NOUN', 'to_ADP', 'the_DET', 'door_NOUN', '._PUNCT'];23;{'his_DET'};23;;23;{'his_DET'}
873;"['The_DET', 'moment_NOUN', 'Scrooge_PROPN', ""'s_PART"", 'hand_NOUN', 'was_VERB', 'on_ADP', 'the_DET', 'lock_NOUN', ',_PUNCT', 'a_DET', 'strange_ADJ', 'voice_NOUN', 'called_VERB', 'him_PRON', 'by_ADP', 'his_PRON', 'name_NOUN', ',_PUNCT', 'and_CCONJ', 'bade_VERB', 'him_PRON', 'enter_VERB', '._PUNCT']";24;{'was_AUX', 'his_DET'};24;{'was_AUX'};24;{'his_DET'}
874;['He_PRON', 'obeyed_VERB', '._PUNCT'];3;;3;;3;
875;['It_PRON', 'was_VERB', 'his_PRON', 'own_ADJ', 'room_NOUN', '._PUNCT'];6;{'was_AUX', 'his_DET'};6;{'was_AUX'};6;{'his_DET'}
876;['There_PRON', 'was_VERB', 'no_DET', 'doubt_NOUN', 'about_ADP', 'that_DET', '._PUNCT'];7;{'was_AUX'};7;{'that_PRON'};7;{'was_AUX'}
877;['But_CCONJ', 'it_PRON', 'had_VERB', 'undergone_VERB', 'a_DET', 'surprising_ADJ', 'transformation_NOUN', '._PUNCT'];8;{'had_AUX'};8;{'had_AUX'};8;
878;"['The_DET', 'walls_NOUN', 'and_CCONJ', 'ceiling_NOUN', 'were_VERB', 'so_ADV', 'hung_ADJ', 'with_ADP', 'living_VERB', 'green_NOUN', ',_PUNCT', 'that_ADP', 'it_PRON', 'looked_VERB', 'a_DET', 'perfect_ADJ', 'grove_NOUN', ';_PUNCT', 'from_ADP', 'every_DET', 'part_NOUN', 'of_ADP', 'which_PRON', 'bright_ADJ', 'gleaming_ADJ', 'berries_NOUN', 'glistened_VERB', '._PUNCT']";28;{'were_AUX', 'green_ADJ', 'gleaming_VERB', 'which_DET', 'that_SCONJ'};28;{'were_AUX', 'green_ADJ', 'hung_VERB', 'gleaming_NOUN', 'that_SCONJ'};28;{'gleaming_VERB', 'which_DET'}
879;"['The_DET', 'crisp_ADJ', 'leaves_NOUN', 'of_ADP', 'holly_ADJ', ',_PUNCT', 'mistletoe_NOUN', ',_PUNCT', 'and_CCONJ', 'ivy_NOUN', 'reflected_VERB', 'back_ADV', 'the_DET', 'light_NOUN', ',_PUNCT', 'as_ADP', 'if_ADP', 'so_ADV', 'many_ADJ', 'little_ADJ', 'mirrors_NOUN', 'had_VERB', 'been_VERB', 'scattered_VERB', 'there_ADV', ';_PUNCT', 'and_CCONJ', 'such_DET', 'a_DET', 'mighty_ADJ', 'blaze_NOUN', 'went_VERB', 'roaring_VERB', 'up_ADP', 'the_DET', 'chimney_NOUN', 'as_ADP', 'that_DET', 'dull_ADJ', 'petrifaction_NOUN', 'of_ADP', 'a_DET', 'hearth_NOUN', 'had_VERB', 'never_ADV', 'known_VERB', 'in_ADP', 'Scrooge_PROPN', ""'s_PART"", 'time_NOUN', ',_PUNCT', 'or_CCONJ', 'Marley_PROPN', ""'s_PART"", ',_PUNCT', 'or_CCONJ', 'for_ADP', 'many_ADJ', 'and_CCONJ', 'many_ADJ', 'a_DET', 'winter_NOUN', 'season_NOUN', 'gone_VERB', '._PUNCT']";65;{'if_SCONJ', 'mistletoe_PROPN', 'as_SCONJ', 'been_AUX', 'ivy_PROPN', 'had_AUX', 'holly_NOUN'};65;{'if_SCONJ', 'had_AUX', 'as_SCONJ', 'been_AUX', 'mighty_NOUN', 'back_ADP', 'many_DET', 'holly_NOUN'};65;{'mistletoe_PROPN', 'ivy_PROPN'}
880;['Heaped_VERB', 'up_ADP', 'on_ADP', 'the_DET', 'floor_NOUN', ',_PUNCT', 'to_PART', 'form_VERB', 'a_DET', 'kind_NOUN', 'of_ADP', 'throne_NOUN', ',_PUNCT', 'were_VERB', 'turkeys_NOUN', ',_PUNCT', 'geese_NOUN', ',_PUNCT', 'game_NOUN', ',_PUNCT', 'poultry_NOUN', ',_PUNCT', 'brawn_NOUN', ',_PUNCT', 'great_ADJ', 'joints_NOUN', 'of_ADP', 'meat_NOUN', ',_PUNCT', 'sucking-pigs_NOUN', ',_PUNCT', 'long_ADJ', 'wreaths_NOUN', 'of_ADP', 'sausages_NOUN', ',_PUNCT', 'mince-pies_NOUN', ',_PUNCT', 'plum-puddings_NOUN', ',_PUNCT', 'barrels_NOUN', 'of_ADP', 'oysters_NOUN', ',_PUNCT', 'red-hot_ADJ', 'chestnuts_NOUN', ',_PUNCT', 'cherry-cheeked_ADJ', 'apples_NOUN', ',_PUNCT', 'juicy_ADJ', 'oranges_NOUN', ',_PUNCT', 'luscious_ADJ', 'pears_NOUN', ',_PUNCT', 'immense_ADJ', 'twelfth-cakes_NOUN', ',_PUNCT', 'and_CCONJ', 'seething_ADJ', 'bowls_NOUN', 'of_ADP', 'punch_NOUN', ',_PUNCT', 'that_PRON', 'made_VERB', 'the_DET', 'chamber_NOUN', 'dim_VERB', 'with_ADP', 'their_PRON', 'delicious_ADJ', 'steam_NOUN', '._PUNCT'];75;{'brawn_PROPN', 'plum_NOUN', 'cherry_NOUN', 'mince_NOUN', 'twelfth_ADJ', 'cakes_NOUN', 'cheeked_VERB', 'geese_ADJ', 'hot_ADJ', 'red_ADJ', 'sucking_VERB', 'were_AUX', 'seething_VERB', '-_PUNCT', 'puddings_NOUN', 'their_DET', 'pies_NOUN', 'that_DET', 'pigs_NOUN'};87;{'hot_ADJ', 'cheeked_ADJ', 'were_AUX', 'plum-_NOUN', 'cherry_NOUN', 'seething_VERB', 'pigs_NOUN', '-_PUNCT', 'mince_NOUN', 'puddings_NOUN', 'sucking_NOUN', 'cakes_NOUN', 'twelfth_ADJ', 'dim_ADJ', 'red_ADJ', 'pies_NOUN'};86;{'geese_ADJ', 'that_DET', 'brawn_PROPN', 'plum_NOUN', 'their_DET', 'sucking_VERB', 'cheeked_VERB'}
881;"['In_ADP', 'easy_ADJ', 'state_NOUN', 'upon_ADP', 'this_DET', 'couch_NOUN', 'there_ADV', 'sat_VERB', 'a_DET', 'jolly_ADJ', 'Giant_PROPN', ',_PUNCT', 'glorious_ADJ', 'to_PART', 'see_VERB', ';_PUNCT', 'who_PRON', 'bore_VERB', 'a_DET', 'glowing_VERB', 'torch_NOUN', ',_PUNCT', 'in_ADP', 'shape_NOUN', 'not_ADV', 'unlike_ADP', 'Plenty_PROPN', ""'s_PART"", 'horn_NOUN', ',_PUNCT', 'and_CCONJ', 'held_VERB', 'it_PRON', 'up_ADP', ',_PUNCT', 'high_ADV', 'up_ADP', ',_PUNCT', 'to_PART', 'shed_VERB', 'its_PRON', 'light_NOUN', 'on_ADP', 'Scrooge_PROPN', 'as_ADP', 'he_PRON', 'came_VERB', 'peeping_VERB', 'round_ADP', 'the_DET', 'door_NOUN', '._PUNCT']";52;{'jolly_ADV', 'as_SCONJ', 'not_PART', 'high_ADJ', 'upon_SCONJ', 'glowing_ADJ', 'up_ADV', 'its_DET'};52;{'there_PRON', 'as_SCONJ', 'glowing_NOUN', 's_AUX', 'high_ADJ', 'Plenty_NOUN'};53;{'jolly_ADV', 'not_PART', 'upon_SCONJ', 'glowing_ADJ', 'up_ADV', 'its_DET'}
882;"['""_PUNCT', 'Come_VERB', 'in_ADP', '!_PUNCT', '""_PUNCT']";5;;5;{'in_ADV'};5;
883;['exclaimed_VERB', 'the_DET', 'Ghost_PROPN', '._PUNCT'];4;;4;;4;
884;"['""_PUNCT', 'Come_VERB', 'in_ADP', '!_PUNCT']";4;;4;{'in_ADV'};4;
885;"['and_CCONJ', 'know_VERB', 'me_PRON', 'better_ADV', ',_PUNCT', 'man_INTJ', '!_PUNCT', '""_PUNCT']";8;{'man_NOUN'};8;{'better_ADJ', 'man_NOUN'};8;
886;['Scrooge_PROPN', 'entered_VERB', 'timidly_ADV', ',_PUNCT', 'and_CCONJ', 'hung_VERB', 'his_PRON', 'head_NOUN', 'before_ADP', 'this_DET', 'Spirit_PROPN', '._PUNCT'];12;{'his_DET'};12;{'Spirit_NOUN'};12;{'his_DET'}
887;"['He_PRON', 'was_VERB', 'not_ADV', 'the_DET', 'dogged_ADJ', 'Scrooge_PROPN', 'he_PRON', 'had_VERB', 'been_VERB', ';_PUNCT', 'and_CCONJ', ',_PUNCT', 'though_ADP', 'the_DET', 'Spirit_PROPN', ""'s_PART"", 'eyes_NOUN', 'were_VERB', 'clear_ADJ', 'and_CCONJ', 'kind_ADJ', ',_PUNCT', 'he_PRON', 'did_VERB', 'not_ADV', 'like_VERB', 'to_PART', 'meet_VERB', 'them_PRON', '._PUNCT']";30;{'though_SCONJ', 'were_AUX', 'not_PART', 'did_AUX', 'was_AUX', 'been_AUX', 'had_AUX'};30;{'though_SCONJ', 'were_AUX', 'dogged_VERB', 'not_PART', 'did_AUX', 'was_AUX', 'been_AUX', 'had_AUX', 'kind_ADV'};30;
888;"['""_PUNCT', 'I_PRON', 'am_VERB', 'the_DET', 'Ghost_PROPN', 'of_ADP', 'Christmas_PROPN', 'Present_PROPN', ',""_PUNCT', 'said_VERB', 'the_DET', 'Spirit_PROPN', '._PUNCT']";13;{',_PUNCT', 'am_AUX'};14;{',_PUNCT', 'am_AUX'};14;
889;"['""_PUNCT', 'Look_VERB', 'upon_ADP', 'me_PRON', '!_PUNCT', '""_PUNCT']";6;{'upon_SCONJ'};6;;6;{'upon_SCONJ'}
890;['Scrooge_PROPN', 'reverently_ADV', 'did_VERB', 'so_ADV', '._PUNCT'];5;{'did_AUX'};5;;5;{'did_AUX'}
891;['It_PRON', 'was_VERB', 'clothed_VERB', 'in_ADP', 'one_NUM', 'simple_ADJ', 'deep_ADJ', 'green_ADJ', 'robe_NOUN', ',_PUNCT', 'or_CCONJ', 'mantle_NOUN', ',_PUNCT', 'bordered_VERB', 'with_ADP', 'white_ADJ', 'fur_NOUN', '._PUNCT'];18;{'was_AUX'};18;{'was_AUX'};18;
892;['This_DET', 'garment_NOUN', 'hung_VERB', 'so_ADV', 'loosely_ADV', 'on_ADP', 'the_DET', 'figure_NOUN', ',_PUNCT', 'that_ADP', 'its_PRON', 'capacious_ADJ', 'breast_NOUN', 'was_VERB', 'bare_ADJ', ',_PUNCT', 'as_ADP', 'if_ADP', 'disdaining_VERB', 'to_PART', 'be_VERB', 'warded_VERB', 'or_CCONJ', 'concealed_VERB', 'by_ADP', 'any_DET', 'artifice_NOUN', '._PUNCT'];28;{'if_SCONJ', 'be_AUX', 'as_SCONJ', 'was_AUX', 'that_SCONJ', 'its_DET'};28;{'if_SCONJ', 'be_AUX', 'as_SCONJ', 'was_AUX', 'that_SCONJ'};28;{'its_DET'}
893;"['Its_PRON', 'feet_NOUN', ',_PUNCT', 'observable_ADJ', 'beneath_ADP', 'the_DET', 'ample_ADJ', 'folds_NOUN', 'of_ADP', 'the_DET', 'garment_NOUN', ',_PUNCT', 'were_VERB', 'also_ADV', 'bare_ADJ', ';_PUNCT', 'and_CCONJ', 'on_ADP', 'its_PRON', 'head_NOUN', 'it_PRON', 'wore_VERB', 'no_DET', 'other_ADJ', 'covering_NOUN', 'than_ADP', 'a_DET', 'holly_ADJ', 'wreath_NOUN', ',_PUNCT', 'set_VERB', 'here_ADV', 'and_CCONJ', 'there_ADV', 'with_ADP', 'shining_VERB', 'icicles_NOUN', '._PUNCT']";38;{'were_AUX', 'holly_ADV', 'than_SCONJ', 'wreath_ADJ', 'Its_DET', 'its_DET'};38;{'covering_VERB', 'were_AUX'};38;{'holly_ADV', 'than_SCONJ', 'wreath_ADJ', 'Its_DET', 'its_DET'}
894;"['Its_PRON', 'dark_ADJ', 'brown_ADJ', 'curls_NOUN', 'were_VERB', 'long_ADJ', 'and_CCONJ', 'free_ADJ', ';_PUNCT', 'free_ADJ', 'as_ADP', 'its_PRON', 'genial_ADJ', 'face_NOUN', ',_PUNCT', 'its_PRON', 'sparkling_ADJ', 'eye_NOUN', ',_PUNCT', 'its_PRON', 'open_ADJ', 'hand_NOUN', ',_PUNCT', 'its_PRON', 'cheery_ADJ', 'voice_NOUN', ',_PUNCT', 'its_PRON', 'unconstrained_ADJ', 'demeanour_NOUN', ',_PUNCT', 'and_CCONJ', 'its_PRON', 'joyful_ADJ', 'air_NOUN', '._PUNCT']";36;{'Its_DET', 'were_AUX', 'its_DET', 'as_SCONJ'};36;{'were_AUX', 'It_PRON', 'sparkling_VERB', 's_AUX', 'it_PRON'};40;{'Its_DET', 'its_DET', 'as_SCONJ'}
895;"['Girded_VERB', 'round_ADP', 'its_PRON', 'middle_NOUN', 'was_VERB', 'an_DET', 'antique_ADJ', 'scabbard_NOUN', ';_PUNCT', 'but_CCONJ', 'no_DET', 'sword_NOUN', 'was_VERB', 'in_ADP', 'it_PRON', ',_PUNCT', 'and_CCONJ', 'the_DET', 'ancient_ADJ', 'sheath_NOUN', 'was_VERB', 'eaten_VERB', 'up_ADP', 'with_ADP', 'rust_NOUN', '._PUNCT']";26;{'was_AUX', 'its_DET'};26;{'was_AUX'};26;{'its_DET'}
896;"['""_PUNCT', 'You_PRON', 'have_VERB', 'never_ADV', 'seen_VERB', 'the_DET', 'like_NOUN', 'of_ADP', 'me_PRON', 'before_ADV', '!_PUNCT', '""_PUNCT']";12;{'have_AUX', 'like_ADJ'};12;{'have_AUX', 'like_ADJ'};12;
897;['exclaimed_VERB', 'the_DET', 'Spirit_PROPN', '._PUNCT'];4;;4;{'Spirit_NOUN'};4;
898;"['""_PUNCT', 'Never_ADV', ',""_PUNCT', 'Scrooge_PROPN', 'made_VERB', 'answer_NOUN', 'to_ADP', 'it_PRON', '._PUNCT']";9;{',_PUNCT'};10;{',_PUNCT'};10;
899;"['""_PUNCT', 'Have_VERB', 'never_ADV', 'walked_VERB', 'forth_ADV', 'with_ADP', 'the_DET', 'younger_ADJ', 'members_NOUN', 'of_ADP', 'my_PRON', 'family_NOUN', ';_PUNCT', 'meaning_VERB', '(_PUNCT', 'for_ADP', 'I_PRON', 'am_VERB', 'very_ADV', 'young_ADJ', ')_PUNCT', 'my_PRON', 'elder_ADJ', 'brothers_NOUN', 'born_VERB', 'in_ADP', 'these_DET', 'later_ADJ', 'years_NOUN', '?_PUNCT', '""_PUNCT']";31;{'am_AUX', 'Have_AUX', 'my_DET'};31;{'elder_NOUN', 'Have_AUX', 'for_SCONJ', 'am_AUX', 'meaning_NOUN'};31;{'my_DET'}
900;['pursued_VERB', 'the_DET', 'Phantom_PROPN', '._PUNCT'];4;{'Phantom_NOUN'};4;;4;{'Phantom_NOUN'}
901;"['""_PUNCT', 'I_PRON', 'do_VERB', ""n't_ADV"", 'think_VERB', 'I_PRON', 'have_VERB', ',""_PUNCT', 'said_VERB', 'Scrooge_PROPN', '._PUNCT']";11;"{'do_AUX', ""n't_PART"", ',_PUNCT', 'have_AUX'}";12;"{'do_AUX', ""n't_PART"", ',_PUNCT'}";12;{'have_AUX'}
902;"['""_PUNCT', 'I_PRON', 'am_VERB', 'afraid_ADJ', 'I_PRON', 'have_VERB', 'not_ADV', '._PUNCT']";8;{'not_PART', 'am_AUX', 'have_AUX'};8;{'not_PART', 'am_AUX', 'have_AUX'};8;
903;"['Have_VERB', 'you_PRON', 'had_VERB', 'many_ADJ', 'brothers_NOUN', ',_PUNCT', 'Spirit_PROPN', '?_PUNCT', '""_PUNCT']";9;{'had_AUX', 'Have_AUX'};9;{'Have_AUX'};9;{'had_AUX'}
904;"['""_PUNCT', 'More_ADJ', 'than_ADP', 'eighteen_NUM', 'hundred_NUM', ',""_PUNCT', 'said_VERB', 'the_DET', 'Ghost_PROPN', '._PUNCT']";10;{'than_SCONJ', ',_PUNCT'};11;{'hundred_NOUN', ',_PUNCT'};11;{'than_SCONJ'}
905;"['""_PUNCT', 'A_DET', 'tremendous_ADJ', 'family_NOUN', 'to_PART', 'provide_VERB', 'for_ADP', ',""_PUNCT', 'muttered_VERB', 'Scrooge_PROPN', '._PUNCT']";11;{',_PUNCT'};12;{',_PUNCT'};12;
906;['The_DET', 'Ghost_PROPN', 'of_ADP', 'Christmas_PROPN', 'Present_PROPN', 'rose_VERB', '._PUNCT'];7;;7;;7;
907;"['""_PUNCT', 'Spirit_NOUN', ',""_PUNCT', 'said_VERB', 'Scrooge_PROPN', 'submissively_ADV', ',_PUNCT', '""_PUNCT', 'conduct_VERB', 'me_PRON', 'where_ADV', 'you_PRON', 'will_AUX', '._PUNCT']";14;{'will_VERB', 'Spirit_PROPN'};15;;15;{'Spirit_PROPN', 'will_VERB'}
908;['I_PRON', 'went_VERB', 'forth_ADV', 'last_ADJ', 'night_NOUN', 'on_ADP', 'compulsion_NOUN', ',_PUNCT', 'and_CCONJ', 'I_PRON', 'learnt_VERB', 'a_DET', 'lesson_NOUN', 'which_PRON', 'is_VERB', 'working_VERB', 'now_ADV', '._PUNCT'];18;{'is_AUX', 'which_DET'};18;{'is_AUX'};18;{'which_DET'}
909;"['To-night_NOUN', ',_PUNCT', 'if_ADP', 'you_PRON', 'have_VERB', 'aught_VERB', 'to_PART', 'teach_VERB', 'me_PRON', ',_PUNCT', 'let_VERB', 'me_PRON', 'profit_VERB', 'by_ADP', 'it_PRON', '._PUNCT', '""_PUNCT']";17;{'if_SCONJ', 'To_ADP', '-_PUNCT', 'night_NOUN', 'have_AUX'};19;{'if_SCONJ', 'To_ADP', '-_PUNCT', 'night_NOUN', 'aught_PRON'};19;{'have_AUX'}
910;"['""_PUNCT', 'Touch_VERB', 'my_PRON', 'robe_NOUN', '!_PUNCT', '""_PUNCT']";6;{'my_DET'};6;;6;{'my_DET'}
911;['Scrooge_PROPN', 'did_VERB', 'as_ADP', 'he_PRON', 'was_VERB', 'told_VERB', ',_PUNCT', 'and_CCONJ', 'held_VERB', 'it_PRON', 'fast_ADV', '._PUNCT'];12;{'was_AUX', 'did_AUX', 'as_SCONJ'};12;{'was_AUX', 'as_SCONJ'};12;{'did_AUX'}
912;['Holly_PROPN', ',_PUNCT', 'mistletoe_NOUN', ',_PUNCT', 'red_ADJ', 'berries_NOUN', ',_PUNCT', 'ivy_NOUN', ',_PUNCT', 'turkeys_NOUN', ',_PUNCT', 'geese_NOUN', ',_PUNCT', 'game_NOUN', ',_PUNCT', 'poultry_NOUN', ',_PUNCT', 'brawn_NOUN', ',_PUNCT', 'meat_NOUN', ',_PUNCT', 'pigs_NOUN', ',_PUNCT', 'sausages_NOUN', ',_PUNCT', 'oysters_NOUN', ',_PUNCT', 'pies_NOUN', ',_PUNCT', 'puddings_NOUN', ',_PUNCT', 'fruit_NOUN', ',_PUNCT', 'and_CCONJ', 'punch_NOUN', ',_PUNCT', 'all_DET', 'vanished_VERB', 'instantly_ADV', '._PUNCT'];40;{'punch_VERB', 'brawn_PROPN', 'Holly_ADV'};40;{'Holly_NOUN'};40;{'punch_VERB', 'brawn_PROPN', 'Holly_ADV'}
913;['So_ADV', 'did_VERB', 'the_DET', 'room_NOUN', ',_PUNCT', 'the_DET', 'fire_NOUN', ',_PUNCT', 'the_DET', 'ruddy_ADJ', 'glow_NOUN', ',_PUNCT', 'the_DET', 'hour_NOUN', 'of_ADP', 'night_NOUN', ',_PUNCT', 'and_CCONJ', 'they_PRON', 'stood_VERB', 'in_ADP', 'the_DET', 'city_NOUN', 'streets_NOUN', 'on_ADP', 'Christmas_PROPN', 'morning_NOUN', ',_PUNCT', 'where_ADV', '(_PUNCT', 'for_ADP', 'the_DET', 'weather_NOUN', 'was_VERB', 'severe_ADJ', ')_PUNCT', 'the_DET', 'people_NOUN', 'made_VERB', 'a_DET', 'rough_ADJ', ',_PUNCT', 'but_CCONJ', 'brisk_ADJ', 'and_CCONJ', 'not_ADV', 'unpleasant_ADJ', 'kind_NOUN', 'of_ADP', 'music_NOUN', ',_PUNCT', 'in_ADP', 'scraping_VERB', 'the_DET', 'snow_NOUN', 'from_ADP', 'the_DET', 'pavement_NOUN', 'in_ADP', 'front_NOUN', 'of_ADP', 'their_PRON', 'dwellings_NOUN', ',_PUNCT', 'and_CCONJ', 'from_ADP', 'the_DET', 'tops_NOUN', 'of_ADP', 'their_PRON', 'houses_NOUN', ',_PUNCT', 'whence_ADV', 'it_PRON', 'was_VERB', 'mad_ADJ', 'delight_NOUN', 'to_ADP', 'the_DET', 'boys_NOUN', 'to_PART', 'see_VERB', 'it_PRON', 'come_VERB', 'plumping_VERB', 'down_ADP', 'into_ADP', 'the_DET', 'road_NOUN', 'below_ADV', ',_PUNCT', 'and_CCONJ', 'splitting_VERB', 'into_ADP', 'artificial_ADJ', 'little_ADJ', 'snow-storms_NOUN', '._PUNCT'];98;{'ruddy_PROPN', 'not_PART', '-_PUNCT', 'did_AUX', 'whence_PUNCT', 'was_AUX', 'their_DET', 'of_ADV', 'storms_NOUN', 'kind_ADV'};100;{'in_SCONJ', 'ruddy_NOUN', '-_PUNCT', 'was_AUX', 'storms_NOUN'};100;{'ruddy_PROPN', 'not_PART', 'did_AUX', 'whence_PUNCT', 'their_DET', 'of_ADV', 'kind_ADV'}
914;"['The_DET', 'house-fronts_NOUN', 'looked_VERB', 'black_ADJ', 'enough_ADV', ',_PUNCT', 'and_CCONJ', 'the_DET', 'windows_NOUN', 'blacker_VERB', ',_PUNCT', 'contrasting_VERB', 'with_ADP', 'the_DET', 'smooth_ADJ', 'white_ADJ', 'sheet_NOUN', 'of_ADP', 'snow_NOUN', 'upon_ADP', 'the_DET', 'roofs_NOUN', ',_PUNCT', 'and_CCONJ', 'with_ADP', 'the_DET', 'dirtier_ADJ', 'snow_NOUN', 'upon_ADP', 'the_DET', 'ground_NOUN', ';_PUNCT', 'which_PRON', 'last_ADJ', 'deposit_NOUN', 'had_VERB', 'been_VERB', 'ploughed_VERB', 'up_ADP', 'in_ADP', 'deep_ADJ', 'furrows_NOUN', 'by_ADP', 'the_DET', 'heavy_ADJ', 'wheels_NOUN', 'of_ADP', 'carts_NOUN', 'and_CCONJ', 'waggons_NOUN', ';_PUNCT', 'furrows_NOUN', 'that_PRON', 'crossed_VERB', 'and_CCONJ', 'recrossed_VERB', 'each_DET', 'other_ADJ', 'hundreds_NOUN', 'of_ADP', 'times_NOUN', 'where_ADV', 'the_DET', 'great_ADJ', 'streets_NOUN', 'branched_VERB', 'off_ADP', ';_PUNCT', 'and_CCONJ', 'made_VERB', 'intricate_ADJ', 'channels_NOUN', ',_PUNCT', 'hard_ADJ', 'to_PART', 'trace_VERB', ',_PUNCT', 'in_ADP', 'the_DET', 'thick_ADJ', 'yellow_ADJ', 'mud_NOUN', 'and_CCONJ', 'icy_ADJ', 'water_NOUN', '._PUNCT']";86;{'that_DET', 'icy_NOUN', 'fronts_NOUN', '-_PUNCT', 'been_AUX', 'upon_SCONJ', 'house_NOUN', 'which_DET', 'had_AUX', 'blacker_NOUN', 'furrows_VERB'};88;{'blacker_ADJ', 'fronts_NOUN', '-_PUNCT', 'been_AUX', 'house_NOUN', 'had_AUX'};88;{'that_DET', 'icy_NOUN', 'upon_SCONJ', 'which_DET', 'blacker_NOUN', 'furrows_VERB'}
915;"['The_DET', 'sky_NOUN', 'was_VERB', 'gloomy_ADJ', ',_PUNCT', 'and_CCONJ', 'the_DET', 'shortest_ADJ', 'streets_NOUN', 'were_VERB', 'choked_VERB', 'up_ADP', 'with_ADP', 'a_DET', 'dingy_ADJ', 'mist_NOUN', ',_PUNCT', 'half_NOUN', 'thawed_VERB', ',_PUNCT', 'half_ADV', 'frozen_ADJ', ',_PUNCT', 'whose_PRON', 'heavier_ADJ', 'particles_NOUN', 'descended_VERB', 'in_ADP', 'a_DET', 'shower_NOUN', 'of_ADP', 'sooty_ADJ', 'atoms_NOUN', ',_PUNCT', 'as_ADP', 'if_ADP', 'all_DET', 'the_DET', 'chimneys_NOUN', 'in_ADP', 'Great_PROPN', 'Britain_PROPN', 'had_VERB', ',_PUNCT', 'by_ADP', 'one_NUM', 'consent_NOUN', ',_PUNCT', 'caught_VERB', 'fire_NOUN', ',_PUNCT', 'and_CCONJ', 'were_VERB', 'blazing_VERB', 'away_ADV', 'to_ADP', 'their_PRON', 'dear_ADJ', ""hearts'_NOUN"", 'content_NOUN', '._PUNCT']";61;"{'if_SCONJ', 'were_AUX', 'whose_DET', 'as_SCONJ', 'was_AUX', 'their_DET', 'dingy_NOUN', ""'_PART"", 'hearts_NOUN', 'sooty_PROPN', 'had_AUX'}";62;"{'if_SCONJ', 'were_AUX', 'as_SCONJ', 'was_AUX', ""'_PART"", 'hearts_NOUN', 'had_AUX', 'frozen_VERB'}";62;{'dingy_NOUN', 'sooty_PROPN', 'their_DET', 'whose_DET'}
